ID,Entity,Content
859321269555375_1001402474687126,KFC,The Chicken  do not look like that at our KFC  anymore  nor does it taste good anymore
859321269555375_2439446119576883,KFC,Just bought the Tuesday 10 piece bucket. Got home only 8 pieces. Tried to call no answer. MSG box full. Ck your to go orders before you leave here. I got shorted and could not reach anyone. I’m done with businesses that don’t honor their offers
859321269555375_428728783271688,KFC,Chambersburg KFC stated it has to be ordered on line to get the Tuesday deals.  Said thank you and drove out of the drive thru.  Went to Popeyes up the street.
859321269555375_443277768325287,KFC,Looks nothing like that when you get it
859321269555375_394041866950334,KFC,"The last 2 times I have eaten it, it was too salty. Wish they would cut down on that a little"
859321269555375_425465623704835,KFC,That's a 20 piece bucket
859321269555375_453099657301300,KFC,"My dad used to take us to kfc on Sunday’s and he could buy a full bucket, drinks and fries for the 5 of us for about $ 15.00 and even after eating a lot we would have left overs!! It’s crazy how small and dinky their chicken is nowadays!! Over priced too!"
859321269555375_850388630442557,KFC,"Those buckets are misleading. You don’t get that much. Back in the day, those buckets were packed full"
859321269555375_962366312041286,KFC,"That's an easy rule to comply with. I'm in no rush to eat dark meat chicken. Thus, pro tip#2, women and children first."
859321269555375_1927088541060235,KFC,Ashland Va didn't Honor it.  I will never go there again
859321269555375_681000447488242,KFC,I’ve had it three times. First time was 2 breast and 2 thighs and 2 legs. It was great. The other times they tried to screw me with a bunch of legs and wings 😡
859321269555375_428045840019413,KFC,Tried it last night. 8 pieces for $10 is a pretty good deal. Got home and the bucket had 4 drumsticks and 4 thighs. No breasts or wings. Your big TV ad didn't mention that. Last time I'll  buy from KFC.
859321269555375_444246561884150,KFC,Never get pieces of chicken like that and never any breast like we used to get. All you get now is minute legs and a wing with a smallest piece of breast. Stopped buying now and go to local independent?
859321269555375_374488431762228,KFC,"No one has ever gotten a bucket of kfc that looked like this. Maybe in the 90s. But these days, they’re passing starved chickens as drumsticks with 80% of the skin missing and two bites of meat at best. I miss the old kfc."
859321269555375_1380514119182864,KFC,Got a bucket and mine was not even half full.  KFC stop stuffing your bucket.  The legs are like chicken wings.  I get more chicken from the grocery store..
859321269555375_1167197254419796,KFC,"My family will never eat at a KFC again. We were treated so badly at the Zanesville Ohio KFC, on maple ave."
859321269555375_996620828473512,KFC,Remember when KFC had real chicken and not little capon chickens. Seems like everything has gotten bigger except chicken. They shrunk!
859321269555375_996712705160712,KFC,"I am still waiting to hear back from last week when I ordered it on the app. When I got there, they said they were out of chicken and would not make more--90 minutes before closing!!!! Give me my money back. Respond to my messages. What a disaster."
859321269555375_428448703378410,KFC,Got my BIG all thighs pieces yesterday at my request in person. Oh my oh my so good ! I can barely wait until next Tuesday.
859321269555375_1199383464554957,KFC,They used to have this too in Germany I don't know why it stop #KFC
859321269555375_1541104569772329,KFC,"This is painful to see. I love KFC, but Elko's KFC doesn't participate.  It's like a love letter from a girl who has a monster boyfriend.  So close,  yet so far away.  Sob."
859321269555375_332287689969985,KFC,He did not honor that 8 that that deal Stores not accepting
859321269555375_983812783254370,KFC,Should close their doors and call it.
859321269555375_1189660112173269,KFC,Is there a code we need to put in??
859321269555375_8069022506461723,KFC,In my area this offer doesn't exist
859321269555375_993048251931387,KFC,KFC the staff in toms river branch in NJ are awesome
859321269555375_1140786363629018,KFC,Got 2 of these today
859321269555375_755973540036181,KFC,I don't believe 8 pieces looks like that in any bucket I've gotten lately.....lol
859321269555375_474466008299183,KFC,Keep your high priced dark meat and small chicken. I used to eat there a lot but don’t anymore.
859321269555375_357809317406472,KFC,This is false advertising I was just charged 15.99!
859321269555375_1681091445969995,KFC,Boycott KFC.
859321269555375_373714565164332,KFC,Never looks like that
859321269555375_3926012344353159,KFC,"Thats not 8, why do the build up the bucket to make it look like so much more?"
859321269555375_467387812443090,KFC,"Everyone just needs to boycott KFC and eat at Gunther’s Chicken, Popeyes Chicken, Slim Chicken ir Chic-fil-a.  Show KFC there are other chicken places"
859321269555375_1114746986422996,KFC,but its thighs and legs
859321269555375_1130539871546949,KFC,Where? I don't see that here in Sterling heights mi
859321269555375_1434562123865957,KFC,Not anymore
859321269555375_1815280172216588,KFC,Good food
859321269555375_1127706741781233,KFC,Rat meat
859321269555375_984626083009540,KFC,"This is a HOAX, I went to my local KFC and they said it wasn’t offered.  Don’t be fooled it is just a ploy to get you into their restaurants then get you to order other items."
859321269555375_471867772063244,KFC,Only like wings n I did get to get 8 for 10
859321269555375_1332172864838619,KFC,"kfc went nasty about 10 years ago….size is dinky, taste like yesterdays leftovers, service sucks…..and it’s insulting they expect high dollar for they garbage"
859321269555375_836154071714347,KFC,Bring back the hot wings!!!!!
859321269555375_806238148106283,KFC,Yummy 😋
859321269555375_1620427112070070,KFC,make it breast's and legs.
859321269555375_1198212497841921,KFC,Bucket of grease
859321269555375_983388193447315,KFC,"Went to KFC for the first time in a long time. I was utterly shocked at the prices. Too expensive. Who knew 4 small pieces of chicken/small Mac n cheese (cold), one biscuit cost over $20.00. Insanity. Will NOT BE BACK"
859321269555375_2645257158975041,KFC,KFC Masr 🍗 yummy
859321269555375_410305991877071,KFC,We like it but it getting over priced. Hell if it was measured like a womans breast it would be like if it was A breas . The wings could not fly and legs could not walk
859321269555375_980868833435280,KFC,I love KFC 🥰
859321269555375_760537516278654,KFC,Over priced corporate food
859321269555375_800001798763170,KFC,Where? China.
859321269555375_768062518844726,KFC,The KFC that we get from the one on Highland Ave in west San Bernardino does not look like this bucket and it is dry out the meat is yuk.
859321269555375_1478589606081294,KFC,#RafahUnderAttack #eyesonrafah
859321269555375_2412519258939963,KFC,George Rodgers
859321269555375_304043215995474,KFC,Soth Fam
859321269555375_995120608694906,KFC,
859321269555375_419632254325275,KFC,❤️
859321269555375_823458036360344,KFC,
859321269555375_1158879505257193,KFC,Amwolf SecretMe
859321269555375_1156332095790616,KFC,Juany Dominguez
859321269555375_1419871405335874,KFC,...2%8%
859321269555375_1133185271250517,KFC,1600 borâturră familly (%)
859321269555375_820152746241119,KFC,"I got mine today, and every tuesday - https://www.facebook.com/reel/486015067091987"
859321269555375_1121042462513540,KFC,🤢🤮🤮💩💩💩
859321269555375_1507929963457381,KFC,"Collduș
Texaz
Oppium"
859321269555375_736225225127821,KFC,"Successed
Management"
859321269555375_2349044958639542,KFC,Perr prroffit..
859321269555375_799089368992508,KFC,"Buy a 8 piece bucket today for $ 10.00 at your local KFC, take a picture and post it here.. let’s see if it compares to the advertised bucket shown here! 😂"
859321269555375_1158710605439714,KFC,"Salut, je m'appelle Rosalie, je suis nouvelle ici, célibataire, j'aimerais me faire de nouveaux amis et je suis disponible pour m'amuser. Si vous êtes intéressé contactez-moi en privé 😘😘😘😘💓❤️ on en discutera bien"
859321269555375_991862259105543,KFC,"আমার সম্পূর্ণ হট ভিডিওটা দেখতে,নিচের দেওয়া লিঙ্কে ক্লিক করে টেলিগ্রামে জয়েন হয়ে যান, যোগদান করলে ১০০ টাকা পাবেন 
লিঙ্ক All Viral Link : https://shorturl.at/nxBIJ
https://shorturl.at/bdwEO"
859321269555375_3580410888842244,KFC,Le plus modi
859321269555375_832268621765268,KFC,Le plus modi
859321269555375_1558754864855069,KFC,Le plus modi
859321269555375_1644314716395968,KFC,"Darius Kelemen  taught me everything I know about the market, I’ve made up to 6k in just 10 days using his daily predictions in cryptocurrency trading and investment . I'm so grateful 🎯🎯🔥🔥🔥"
859321269555375_977299610281888,KFC,I hope you won't misunderstand this because a lot of people don't give strangers a friendship🌹 hand. Forgive me if I have just intruded your privacy. But I hope you understand that I'm just trying to be a friend. I sent you a friend request but it was cancelled kindly ask that you add me as your Facebook friends for better communication and friendship. Thank you
859321269555375_837180901601706,KFC,🤩🍗
859321269555375_3551496251772424,KFC,Like it
859321269555375_975211997574184,KFC,Love my chicken from popeyes
859321269555375_1470042890575037,KFC,Jeff Lucas Jason Smith
859321269555375_1223914978593238,KFC,"Already got mine for today, tasty!🍗"
851051183720166_1513432986186968,McDonalds,"If my grandma was still alive, she'd probably have a heart attack after seeing the prices at McDonald's. The sugar wouldn't do the damage (even though she was diabetic), but those prices sure would."
851051183720166_997598511870163,McDonalds,I just want McDonald’land cookies back with fry guy grimace and hamburglar and Ronald
851051183720166_1162884761422767,McDonalds,"Literally no one will tell me what's actually in it, so I'm assuming it's pieces of real grandma"
851051183720166_1164045958115290,McDonalds,bro they're offin' grandmas
851051183720166_431609546290244,McDonalds,"I misread that as ""taken out.""  Probably because it has 600 calories and *86* total grams of sugar.  Sheesh."
851051183720166_1857934951372458,McDonalds,It is so good!
851051183720166_995692035502627,McDonalds,Is the ice cream machine working?!
851051183720166_1135976410955139,McDonalds,"Old Kleenex, paper clip and freedent flavored!"
851051183720166_1525516814989625,McDonalds,It’s AMAZING!!🙌🙌❤️
851051183720166_413845898298223,McDonalds,"My grandmother once said that ice cream would be the death of me, yet here I stand ice-cream-less and happy"
851051183720166_844769794340822,McDonalds,Hey McDonald's since when is it cool to dry wet filthy mops over the French fries??  I have photos.
851051183720166_1098404127904065,McDonalds,Its not good at all
851051183720166_973528390857474,McDonalds,Our McDonald's has recently remodeled the store.  From parking lot up.  They're not reopened yet. I'll probably miss out on the Grandma McFlurry at the rate theyre going.
851051183720166_1235440100759304,McDonalds,Just had mine and it was so yummy 😋
851051183720166_976119254168347,McDonalds,Hey now. I resemble that remark 😂😂😂
851051183720166_331547503304457,McDonalds,Would love to have one but every McDonald's in my city has no icecream machine because it's been broken for over a year
851051183720166_1192783814980178,McDonalds,Hot date. Good for you
851051183720166_821644496499900,McDonalds,"I am a grandma now. Back in the day when McFlurries first came out, my kids were little. We couldn’t afford McDonald’s except for once a week, we would budget for a meal for each of us. It was a great day!  The kids wanted a McFlurry. Couldn’t afford that. The next week, I bought ice cream and M&M’s. I was determined my kids were going to have a McFlurry. I got the blender all set up, the ice cream out, and the M&M’s. I poured the M&M’s into the blender and turned it on. I forgot one small step. I didn’t put the lid on the blender. It was like a battle ground. M&Ms were flying every where!  Fun times. Lol"
851051183720166_1364447480915964,McDonalds,My kid won't eat it because he thinks it has pieces of grandma's in it.
851051183720166_416485844642934,McDonalds,Unless it has cookie pieces in it it's not a grandma mcflurry. Also the machine isn't broken they are just too lazy to call the guy that services the machine. The employees apparently are not allowed to clean it themselves.
851051183720166_999494831703734,McDonalds,Grammas want snack wraps.
851051183720166_963954601784594,McDonalds,Is it butterscotch?
851051183720166_829044065808064,McDonalds,What flavor is it?
851051183720166_1659531851451156,McDonalds,Tried the Grandma McFlurry today. Liked the G McFlurry. Sweet it is Sweet like my Grandma.
851051183720166_2576560695856992,McDonalds,Is it free for grandma's?
851051183720166_417467221255123,McDonalds,Just found a hair in my food. Never had such bad customer service when trying to resolve the situation.
851051183720166_1685047188698792,McDonalds,I went to McDonald's in Corry pa tonight before work. I ordered and paid two bacon McDoubles. I received two plain McDoubles no bacon.  And I am to trust McDonald's  🤣 🤣 🤣 🤣
851051183720166_973698904002967,McDonalds,"Meh…wouldn’t go out of my way to get it again.  Only half mixed, the bottom was just vanilla soft serve.  Typical McDonalds 🙄"
851051183720166_827098895938175,McDonalds,McDonald's what is this mystery smooth syrup?!
851051183720166_1135377587782016,McDonalds,Can’t wait to try as soon as it gets here.
851051183720166_495456979471070,McDonalds,what kind of candy and syrup? like maple syrup?
851051183720166_7636518089749593,McDonalds,What flavor is it
851051183720166_382116340861729,McDonalds,What's the Grandma Mcflurry?
851051183720166_480057491041061,McDonalds,How long will they have the grandma special?
851051183720166_1389205435071752,McDonalds,I’d like to see the happy meals with good toys in them and regular size fries and still get the apple slices!  The toys today stink.
851051183720166_435803415844626,McDonalds,Is it’s dairy free?
851051183720166_1572111830029307,McDonalds,"Never, ever, ever heard of it 🙃 and sadly all of the McDonalds locations in the area I live (Sioux Falls) have crappy food & even crappier service 🤨"
851051183720166_1535304217046517,McDonalds,Three of us stopped in McDonald’s last night on our way to the shore. $30+ for cold fries and flat sodas. The booths were duct taped together. Never again
851051183720166_1405920366730121,McDonalds,I hadone yesterday it was gross had to throw half of it out
851051183720166_1734669483739057,McDonalds,Too bad mine didn’t have it
851051183720166_383178220738183,McDonalds,What is in this??
